transaction_id,transaction_date,transaction_time,store_location,product_category,product_type,product_detail,Size,unit_price,quantity,total,payment_type,customer_id
T100446,1/1/2024,9:14 PM,Mall,Coffee,Latte,Latte , Medium,3.96,1,3.96,Card,C2821
T100648,1/1/2024,12:02 AM,Suburb,Coffee,Cappuccino,Cappuccino , Medium,3.99,1,3.99,Card,C3993
T100677,1/1/2024,12:25 PM,Downtown,Coffee,Cappuccino,Cappuccino , Medium,3.78,1,3.78,Mobile,C6789
T100755,1/1/2024,4:11 PM,University,Pastry,Bagel,Bagel , Large,2.41,1,2.41,Card,C9624
T100848,1/1/2024,8:45 PM,Suburb,Beverage,Lemonade,Lemonade , Large,2.58,1,2.58,Card,C4580
T100991,1/1/2024,12:42 PM,Downtown,Coffee,Mocha,Mocha , Small,4.66,1,4.66,Card,C5841
T101028,1/1/2024,2:10 AM,Downtown,Pastry,Muffin,Muffin , Medium,2.74,2,5.48,Mobile,C2076
T101164,1/1/2024,2:48 PM,Downtown,Pastry,Bagel,Bagel , Small,1.75,1,1.75,Card,C7626
T101987,1/1/2024,3:12 PM,Mall,Coffee,Flat White,Flat White , Medium,2.98,1,2.98,Card,C4801
T102010,1/1/2024,12:57 PM,Downtown,Tea,Black Tea,Black Tea , Large,2.85,1,2.85,Mobile,C2324
T102070,1/1/2024,1:02 PM,Downtown,Beverage,Iced Tea,Iced Tea , Medium,2.93,1,2.93,Card,C9403
T100063,1/2/2024,9:03 AM,Downtown,Sandwich,Tuna Sandwich,Tuna Sandwich , Large,5.08,1,5.08,Cash,C3344
T100206,1/2/2024,4:57 AM,Mall,Coffee,Cappuccino,Cappuccino , Medium,3.66,1,3.66,Cash,C9418
T100263,1/2/2024,7:04 PM,Airport,Pastry,Croissant,Croissant , Medium,2.71,1,2.71,Card,C5130
T101289,1/2/2024,3:05 PM,Suburb,Sandwich,Chicken Sandwich,Chicken Sandwich , Medium,6.34,1,6.34,Card,C2334
T101823,1/2/2024,1:26 AM,Downtown,Beverage,Lemonade,Lemonade , Medium,2.31,1,2.31,Card,C5529
T101948,1/2/2024,7:52 AM,Downtown,Pastry,Bagel,Bagel , Small,0.97,2,1.94,Card,C2753
T102173,1/2/2024,9:44 PM,Airport,Coffee,Latte,Latte , Large,2.82,1,2.82,Mobile,C9499
T102910,1/2/2024,8:02 AM,Mall,Pastry,Croissant,Croissant , Small,2.49,1,2.49,Card,C2172
T100895,1/3/2024,6:44 PM,Downtown,Coffee,Cappuccino,Cappuccino , Medium,3.08,1,3.08,Card,C5808
T101518,1/3/2024,7:44 PM,Airport,Coffee,Cappuccino,Cappuccino , Large,3.32,1,3.32,Card,C1249
T101577,1/3/2024,7:01 AM,University,Coffee,Americano,Americano , Medium,2.69,1,2.69,Card,C3339
T101864,1/3/2024,9:52 PM,Downtown,Coffee,Americano,Americano , Medium,3.34,1,3.34,Card,C7834
T102124,1/3/2024,7:08 PM,Mall,Coffee,Espresso,Espresso , Medium,4.15,1,4.15,Card,C7900
T102321,1/3/2024,6:21 AM,Downtown,Beverage,Iced Tea,Iced Tea , Small,2.33,1,2.33,Card,C2360
T102657,1/3/2024,1:32 AM,Mall,Coffee,Mocha,Mocha , Small,3.13,1,3.13,Cash,C6221
T102677,1/3/2024,9:13 PM,University,Coffee,Espresso,Espresso , Small,3.75,1,3.75,Cash,C1513
T102731,1/3/2024,9:46 PM,Airport,Coffee,Americano,Americano , Small,3.37,1,3.37,Cash,C5723
T100325,1/4/2024,5:50 PM,Downtown,Coffee,Cappuccino,Cappuccino , Small,3.03,1,3.03,Card,C8166
T100496,1/4/2024,5:26 AM,Suburb,Coffee,Americano,Americano , Medium,4.58,1,4.58,Cash,C2745
T100948,1/4/2024,3:23 PM,Mall,Coffee,Latte,Latte , Large,4.06,1,4.06,Cash,C3050
T100968,1/4/2024,7:36 AM,Downtown,Pastry,Bagel,Bagel , Large,2.43,1,2.43,Card,C9623
T101328,1/4/2024,2:07 AM,University,Coffee,Latte,Latte , Large,4.32,1,4.32,Cash,C9855
T101486,1/4/2024,8:10 PM,Mall,Pastry,Bagel,Bagel , Medium,1.8,1,1.8,Mobile,C3811
T101723,1/4/2024,8:56 PM,Downtown,Tea,Herbal,Herbal , Small,3.61,1,3.61,Card,C6709
T101911,1/4/2024,12:56 AM,Downtown,Coffee,Cappuccino,Cappuccino , Large,3.54,1,3.54,Card,C4915
T102728,1/4/2024,8:21 PM,Suburb,Tea,Green Tea,Green Tea , Medium,2.32,1,2.32,Cash,C7842
T100128,1/5/2024,4:34 PM,Downtown,Tea,Chai,Chai , Medium,1.91,1,1.91,Card,C3414
T100415,1/5/2024,5:11 AM,Mall,Coffee,Americano,Americano , Large,2.8,1,2.8,Card,C4882
T100613,1/5/2024,11:20 PM,Airport,Sandwich,Chicken Sandwich,Chicken Sandwich , Medium,3.25,1,3.25,Cash,C9564
T100720,1/5/2024,4:51 AM,University,Tea,Black Tea,Black Tea , Medium,2.9,1,2.9,Card,C5926
T100842,1/5/2024,1:37 PM,Downtown,Tea,Green Tea,Green Tea , Large,2.01,1,2.01,Card,C5330
T101044,1/5/2024,8:45 AM,Airport,Coffee,Flat White,Flat White , Small,3.39,1,3.39,Cash,C6224
T101091,1/5/2024,7:22 AM,Downtown,Beverage,Smoothie,Smoothie , Small,2.82,1,2.82,Card,C2713
T101561,1/5/2024,7:15 PM,University,Beverage,Lemonade,Lemonade , Large,2.78,1,2.78,Card,C7468
T102051,1/5/2024,8:31 AM,Mall,Coffee,Mocha,Mocha , Large,5.36,1,5.36,Card,C4771
T102281,1/5/2024,1:43 PM,Downtown,Coffee,Mocha,Mocha , Large,5.05,1,5.05,Cash,C2709
T102330,1/5/2024,11:03 AM,Downtown,Coffee,Flat White,Flat White , Medium,3.14,1,3.14,Mobile,C9327
T102431,1/5/2024,6:24 PM,Mall,Tea,Black Tea,Black Tea , Medium,2.15,1,2.15,Card,C6041
T102909,1/5/2024,12:11 AM,Downtown,Beverage,Iced Tea,Iced Tea , Medium,2.32,2,4.64,Card,C6654
T100334,1/6/2024,1:40 AM,Downtown,Coffee,Latte,Latte , Large,3.4,1,3.4,Card,C4080
T100741,1/6/2024,5:46 AM,Mall,Sandwich,Tuna Sandwich,Tuna Sandwich , Medium,5.8,1,5.8,Card,C3024
T100934,1/6/2024,1:54 PM,Downtown,Sandwich,Tuna Sandwich,Tuna Sandwich , Small,5.41,1,5.41,Card,C9573
T100964,1/6/2024,5:33 AM,Mall,Coffee,Mocha,Mocha , Large,5.12,1,5.12,Card,C4499
T100605,1/7/2024,5:30 AM,Downtown,Coffee,Americano,Americano , Medium,3.17,1,3.17,Card,C6338
T100894,1/7/2024,12:01 PM,Downtown,Pastry,Croissant,Croissant , Large,2.42,1,2.42,Cash,C4454
T101277,1/7/2024,5:10 PM,Downtown,Pastry,Croissant,Croissant , Medium,2.73,1,2.73,Card,C3015
T101462,1/7/2024,9:07 AM,Suburb,Coffee,Espresso,Espresso , Medium,3.21,1,3.21,Card,C7466
T101650,1/7/2024,5:22 PM,Suburb,Coffee,Latte,Latte , Small,3.85,1,3.85,Card,C8486
T101714,1/7/2024,4:28 AM,Airport,Coffee,Flat White,Flat White , Medium,2.32,2,4.64,Card,C2009
T101859,1/7/2024,7:15 PM,Mall,Pastry,Croissant,Croissant , Large,1.62,1,1.62,Card,C5045
T102381,1/7/2024,1:15 AM,Downtown,Coffee,Mocha,Mocha , Large,3.36,1,3.36,Cash,C3233
T102467,1/7/2024,4:34 AM,Airport,Beverage,Lemonade,Lemonade , Small,3.09,1,3.09,Card,C9892
T102862,1/7/2024,4:52 AM,Mall,Coffee,Cappuccino,Cappuccino , Medium,4.03,1,4.03,Card,C2820
T100687,1/8/2024,3:18 PM,Mall,Coffee,Cappuccino,Cappuccino , Small,4.12,1,4.12,Card,C6984
T100828,1/8/2024,2:52 PM,Suburb,Beverage,Iced Tea,Iced Tea , Small,2.75,1,2.75,Card,C2463
T100875,1/8/2024,10:01 AM,Downtown,Sandwich,Veggie Sandwich,Veggie Sandwich , Small,5.31,1,5.31,Card,C1762
T101250,1/8/2024,3:14 PM,Airport,Coffee,Espresso,Espresso , Large,4.04,1,4.04,Card,C8469
T101764,1/8/2024,9:15 AM,Downtown,Tea,Black Tea,Black Tea , Medium,2.88,1,2.88,Card,C2861
T101941,1/8/2024,2:38 AM,Downtown,Pastry,Bagel,Bagel , Large,2.34,1,2.34,Card,C9886
T102044,1/8/2024,2:35 PM,Mall,Sandwich,Veggie Sandwich,Veggie Sandwich , Medium,4.83,1,4.83,Card,C1245
T102543,1/8/2024,7:22 AM,Downtown,Pastry,Croissant,Croissant , Medium,1.8,1,1.8,Mobile,C5744
T102565,1/8/2024,6:16 PM,Downtown,Coffee,Espresso,Espresso , Small,4.43,1,4.43,Card,C4988
T102966,1/8/2024,2:30 PM,Downtown,Coffee,Espresso,Espresso , Large,3.85,1,3.85,Mobile,C6378
T102989,1/8/2024,8:29 PM,Downtown,Beverage,Smoothie,Smoothie , Small,2.84,1,2.84,Card,C2371
T100097,1/9/2024,1:58 PM,Mall,Sandwich,Tuna Sandwich,Tuna Sandwich , Medium,5.68,1,5.68,Card,C3653
T100269,1/9/2024,5:56 AM,Downtown,Tea,Black Tea,Black Tea , Large,2.51,1,2.51,Card,C5300
T100601,1/9/2024,1:28 PM,Suburb,Sandwich,Veggie Sandwich,Veggie Sandwich , Small,5.45,1,5.45,Card,C4020
T101319,1/9/2024,6:45 AM,Mall,Coffee,Latte,Latte , Large,2.62,1,2.62,Card,C1104
T101567,1/9/2024,12:04 PM,Suburb,Coffee,Espresso,Espresso , Large,3.86,1,3.86,Mobile,C4921
T101597,1/9/2024,6:42 AM,Downtown,Tea,Green Tea,Green Tea , Small,1.91,1,1.91,Card,C4613
T101783,1/9/2024,3:53 AM,University,Coffee,Cappuccino,Cappuccino , Medium,3,2,6,Cash,C3281
T101843,1/9/2024,11:01 PM,Airport,Coffee,Americano,Americano , Large,3.67,1,3.67,Card,C7698
T102203,1/9/2024,9:50 AM,University,Coffee,Flat White,Flat White , Small,4.41,1,4.41,Card,C4228
T100484,1/10/2024,4:12 PM,Suburb,Pastry,Croissant,Croissant , Large,1.96,1,1.96,Card,C3340
T100714,1/10/2024,9:45 PM,Suburb,Tea,Black Tea,Black Tea , Large,2.84,1,2.84,Card,C9845
T101003,1/10/2024,8:19 AM,Suburb,Pastry,Scone,Scone , Large,1.72,1,1.72,Card,C9221
